Framework,Workload,NThread,Iteration,ExecutionTime(s)
DAGRS,Compress Avi Video,1,0,90.522124
DAGRS,Compress Avi Video,1,1,119.075436
DAGRS,Compress Avi Video,1,2,85.875326
DAGRS,Compress Avi Video,1,3,89.939281
DAGRS,Compress Avi Video,1,4,90.969848
DAGRS,Compress Avi Video,1,5,86.209297
DAGRS,Compress Avi Video,1,6,92.080621
DAGRS,Compress Avi Video,1,7,92.526072
DAGRS,Compress Avi Video,1,8,87.250144
DAGRS,Compress Avi Video,1,9,91.834491
DAGRS,Compress Avi Video,5,0,18.507335
DAGRS,Compress Avi Video,5,1,18.648812
DAGRS,Compress Avi Video,5,2,18.907563
DAGRS,Compress Avi Video,5,3,18.855782
DAGRS,Compress Avi Video,5,4,18.733398
DAGRS,Compress Avi Video,5,5,18.239131
DAGRS,Compress Avi Video,5,6,18.388567
DAGRS,Compress Avi Video,5,7,18.028394
DAGRS,Compress Avi Video,5,8,17.885587
DAGRS,Compress Avi Video,5,9,21.050580
DAGRS,Compress Avi Video,10,0,14.289189
DAGRS,Compress Avi Video,10,1,16.525091
DAGRS,Compress Avi Video,10,2,16.369580
DAGRS,Compress Avi Video,10,3,12.712232
DAGRS,Compress Avi Video,10,4,18.982804
DAGRS,Compress Avi Video,10,5,15.470535
DAGRS,Compress Avi Video,10,6,17.157770
DAGRS,Compress Avi Video,10,7,10.328277
DAGRS,Compress Avi Video,10,8,10.577543
DAGRS,Compress Avi Video,10,9,10.590800
DAGRS,Compress Avi Video,15,0,15.118264
DAGRS,Compress Avi Video,15,1,11.183274
DAGRS,Compress Avi Video,15,2,16.802284
DAGRS,Compress Avi Video,15,3,10.103416
DAGRS,Compress Avi Video,15,4,24.650756
DAGRS,Compress Avi Video,15,5,13.652399
DAGRS,Compress Avi Video,15,6,15.169563
DAGRS,Compress Avi Video,15,7,11.471703
DAGRS,Compress Avi Video,15,8,11.896039
DAGRS,Compress Avi Video,15,9,9.277649
DAGRS,Compress Avi Video,25,0,7.448102
DAGRS,Compress Avi Video,25,1,8.074087
DAGRS,Compress Avi Video,25,2,10.584250
DAGRS,Compress Avi Video,25,3,11.205247
DAGRS,Compress Avi Video,25,4,10.389244
DAGRS,Compress Avi Video,25,5,8.969864
DAGRS,Compress Avi Video,25,6,7.937101
DAGRS,Compress Avi Video,25,7,10.073050
DAGRS,Compress Avi Video,25,8,11.565218
DAGRS,Compress Avi Video,25,9,8.148993
DAGRS,Compress Avi Video,30,0,5.025303
DAGRS,Compress Avi Video,30,1,6.049045
DAGRS,Compress Avi Video,30,2,4.786404
DAGRS,Compress Avi Video,30,3,5.153558
DAGRS,Compress Avi Video,30,4,5.022586
DAGRS,Compress Avi Video,30,5,4.847039
DAGRS,Compress Avi Video,30,6,4.892753
DAGRS,Compress Avi Video,30,7,5.096124
DAGRS,Compress Avi Video,30,8,4.820344
DAGRS,Compress Avi Video,30,9,5.055488
DAGRS,Compress Iso File,1,0,104.619175
DAGRS,Compress Iso File,1,1,120.827363
DAGRS,Compress Iso File,1,2,105.741868
DAGRS,Compress Iso File,1,3,102.579308
DAGRS,Compress Iso File,1,4,113.983318
DAGRS,Compress Iso File,1,5,106.302712
DAGRS,Compress Iso File,1,6,103.246908
DAGRS,Compress Iso File,1,7,104.181528
DAGRS,Compress Iso File,1,8,103.829040
