Framework,Workload,NThread,Iteration,ExecutionTime(s)
DAGRS,Mixed,1,0,1053.635345
DAGRS,Mixed,1,1,1050.897983
DAGRS,Mixed,1,2,1052.686456
DAGRS,Mixed,1,3,1053.039952
DAGRS,Mixed,1,4,1057.380906
DAGRS,Mixed,1,5,1063.565726
DAGRS,Mixed,1,6,1054.339214
DAGRS,Mixed,1,7,1054.826150
DAGRS,Mixed,1,8,1051.667258
DAGRS,Mixed,1,9,1052.107094
DAGRS,Mixed,5,0,213.082007
DAGRS,Mixed,5,1,213.278462
DAGRS,Mixed,5,2,215.512940
DAGRS,Mixed,5,3,214.422288
DAGRS,Mixed,5,4,212.495992
DAGRS,Mixed,5,5,212.900370
DAGRS,Mixed,5,6,212.988412
DAGRS,Mixed,5,7,212.807511
DAGRS,Mixed,5,8,212.869708
DAGRS,Mixed,5,9,212.626476
DAGRS,Mixed,10,0,108.981142
DAGRS,Mixed,10,1,107.598474
DAGRS,Mixed,10,2,107.837001
DAGRS,Mixed,10,3,108.646533
DAGRS,Mixed,10,4,107.826456
DAGRS,Mixed,10,5,107.822096
DAGRS,Mixed,10,6,108.861648
DAGRS,Mixed,10,7,108.318074
DAGRS,Mixed,10,8,107.491723
DAGRS,Mixed,10,9,107.786897
DAGRS,Mixed,15,0,81.286079
DAGRS,Mixed,15,2,77.167929
DAGRS,Mixed,15,3,75.864936
DAGRS,Mixed,15,4,84.024873
DAGRS,Mixed,15,6,79.467905
DAGRS,Mixed,15,7,82.628060
DAGRS,Mixed,15,8,80.630890
DAGRS,Mixed,15,9,87.371470
DAGRS,Mixed,25,0,58.123392
DAGRS,Mixed,25,1,57.778178
DAGRS,Mixed,25,2,60.293265
DAGRS,Mixed,25,3,51.038297
DAGRS,Mixed,25,4,59.065246
DAGRS,Mixed,25,5,57.337280
DAGRS,Mixed,25,6,58.183665
DAGRS,Mixed,25,7,58.396381
DAGRS,Mixed,25,8,58.425084
DAGRS,Mixed,25,9,58.957079
DAGRS,Mixed,30,0,48.827887
DAGRS,Mixed,30,1,51.939196
DAGRS,Mixed,30,2,49.080859
DAGRS,Mixed,30,3,48.682066
DAGRS,Mixed,30,4,51.048322
DAGRS,Mixed,30,5,56.632153
DAGRS,Mixed,30,6,50.651187
DAGRS,Mixed,30,7,49.914409
DAGRS,Mixed,30,8,48.611435
DAGRS,Mixed,30,9,49.243380
DAGRS,One Face,1,0,1142.170993
DAGRS,One Face,1,1,1138.721248
DAGRS,One Face,1,2,1139.737514
DAGRS,One Face,1,3,1146.103192
DAGRS,One Face,1,4,1146.938891
DAGRS,One Face,1,5,1139.676638
DAGRS,One Face,1,6,1142.069717
DAGRS,One Face,1,7,1150.557195
