Framework,Workload,NThread,Iteration,ExecutionTime(s)
DAGRS,Big,4,0,76.289054
DAGRS,Big,4,1,71.427423
DAGRS,Big,4,2,73.615575
DAGRS,Big,4,3,73.244178
DAGRS,Big,4,4,70.849310
DAGRS,Big,4,5,72.637644
DAGRS,Big,4,6,71.384053
DAGRS,Big,4,7,73.056873
DAGRS,Big,4,8,73.288171
DAGRS,Big,4,9,70.977261
DAGRS,Big,8,0,75.520917
DAGRS,Big,8,1,75.789093
DAGRS,Big,8,2,75.721752
DAGRS,Big,8,3,75.926655
DAGRS,Big,8,4,75.332068
DAGRS,Big,8,5,75.095491
DAGRS,Big,8,6,76.519529
DAGRS,Big,8,7,75.197705
DAGRS,Big,8,8,75.331018
DAGRS,Big,8,9,74.312383
DAGRS,Big,16,0,78.884112
DAGRS,Big,16,1,82.987356
DAGRS,Big,16,2,86.719525
DAGRS,Big,16,3,84.051267
DAGRS,Big,16,4,83.433815
DAGRS,Big,16,5,84.857330
DAGRS,Big,16,6,83.863647
DAGRS,Big,16,7,84.161634
DAGRS,Big,16,8,83.901927
DAGRS,Big,16,9,83.903826
DAGRS,Big,32,0,91.700890
DAGRS,Big,32,1,86.265503
DAGRS,Big,32,2,92.705372
DAGRS,Big,32,3,89.018069
DAGRS,Big,32,4,88.769194
DAGRS,Big,32,5,87.843970
DAGRS,Big,32,6,92.702618
DAGRS,Big,32,7,92.347471
DAGRS,Big,32,8,91.402533
DAGRS,Big,32,9,90.198777
DAGRS,Mixed,4,0,59.397781
DAGRS,Mixed,4,1,50.395792
DAGRS,Mixed,4,2,49.517737
DAGRS,Mixed,4,3,47.823519
DAGRS,Mixed,4,4,49.896283
DAGRS,Mixed,4,5,48.878765
DAGRS,Mixed,4,6,49.111159
DAGRS,Mixed,4,7,47.730424
DAGRS,Mixed,4,8,49.550189
DAGRS,Mixed,4,9,48.866376
DAGRS,Mixed,8,0,43.335271
DAGRS,Mixed,8,1,41.915174
DAGRS,Mixed,8,2,42.429628
DAGRS,Mixed,8,3,44.465223
DAGRS,Mixed,8,4,44.976522
DAGRS,Mixed,8,5,42.391177
DAGRS,Mixed,8,6,43.890496
DAGRS,Mixed,8,7,44.627458
DAGRS,Mixed,8,8,44.619403
DAGRS,Mixed,8,9,44.504062
DAGRS,Mixed,16,0,43.586378
DAGRS,Mixed,16,1,47.315098
DAGRS,Mixed,16,2,45.924095
DAGRS,Mixed,16,3,46.154740
DAGRS,Mixed,16,4,46.247445
DAGRS,Mixed,16,5,46.440539
DAGRS,Mixed,16,6,46.276247
DAGRS,Mixed,16,7,44.842884
DAGRS,Mixed,16,8,45.362357
DAGRS,Mixed,16,9,44.224464
DAGRS,Mixed,32,0,47.647259
DAGRS,Mixed,32,1,55.543553
DAGRS,Mixed,32,2,50.261534
DAGRS,Mixed,32,3,48.776575
DAGRS,Mixed,32,4,51.012023
DAGRS,Mixed,32,5,52.442113
DAGRS,Mixed,32,6,49.852609
DAGRS,Mixed,32,7,48.597177
DAGRS,Mixed,32,8,49.606812
DAGRS,Mixed,32,9,54.698507
DAGRS,Small,4,0,16.331444
DAGRS,Small,4,1,9.997667
DAGRS,Small,4,2,9.955005
DAGRS,Small,4,3,9.851471
DAGRS,Small,4,4,9.945706
DAGRS,Small,4,5,9.964546
DAGRS,Small,4,6,10.096823
DAGRS,Small,4,7,10.055588
DAGRS,Small,4,8,9.967411
DAGRS,Small,4,9,9.846548
DAGRS,Small,8,0,20.292874
DAGRS,Small,8,1,10.135483
DAGRS,Small,8,2,10.042497
DAGRS,Small,8,3,11.885668
DAGRS,Small,8,4,10.341076
DAGRS,Small,8,5,10.148964
DAGRS,Small,8,6,9.836855
DAGRS,Small,8,7,11.997828
DAGRS,Small,8,8,12.872738
DAGRS,Small,8,9,10.095445
DAGRS,Small,16,0,9.844763
DAGRS,Small,16,1,10.167160
DAGRS,Small,16,2,10.062162
DAGRS,Small,16,3,10.260937
DAGRS,Small,16,4,9.773337
DAGRS,Small,16,5,10.905222
DAGRS,Small,16,6,9.877244
DAGRS,Small,16,7,9.991335
DAGRS,Small,16,8,10.187224
DAGRS,Small,16,9,11.994835
DAGRS,Small,32,0,10.121340
DAGRS,Small,32,1,10.071729
DAGRS,Small,32,2,9.929270
DAGRS,Small,32,3,9.903738
DAGRS,Small,32,4,9.974954
DAGRS,Small,32,5,11.163181
