Framework,Workload,NThread,Iteration,ExecutionTime(s)
DAGRS,Micro Bench,4,0,4.755533
DAGRS,Micro Bench,4,1,4.666433
DAGRS,Micro Bench,4,2,4.968572
DAGRS,Micro Bench,4,3,4.920350
DAGRS,Micro Bench,4,4,4.623707
DAGRS,Micro Bench,4,5,4.727909
DAGRS,Micro Bench,4,6,4.678553
DAGRS,Micro Bench,4,7,4.732830
DAGRS,Micro Bench,4,8,4.748489
DAGRS,Micro Bench,4,9,2.837370
DAGRS,Micro Bench,8,0,2.140221
DAGRS,Micro Bench,8,1,2.202464
DAGRS,Micro Bench,8,2,2.142915
DAGRS,Micro Bench,8,3,2.168583
DAGRS,Micro Bench,8,4,2.205648
DAGRS,Micro Bench,8,5,2.151465
DAGRS,Micro Bench,8,6,2.199723
DAGRS,Micro Bench,8,7,2.597500
DAGRS,Micro Bench,8,8,2.144602
DAGRS,Micro Bench,8,9,2.577169
DAGRS,Micro Bench,16,0,1.109907
DAGRS,Micro Bench,16,1,1.129798
DAGRS,Micro Bench,16,2,1.134873
DAGRS,Micro Bench,16,3,1.132030
DAGRS,Micro Bench,16,4,1.115634
DAGRS,Micro Bench,16,5,1.150600
DAGRS,Micro Bench,16,6,1.120149
DAGRS,Micro Bench,16,7,1.124814
DAGRS,Micro Bench,16,8,1.202919
DAGRS,Micro Bench,16,9,1.169785
DAGRS,Micro Bench,32,0,0.635244
DAGRS,Micro Bench,32,1,0.664607
DAGRS,Micro Bench,32,2,0.614106
DAGRS,Micro Bench,32,3,0.651205
DAGRS,Micro Bench,32,4,0.618575
DAGRS,Micro Bench,32,5,0.618194
DAGRS,Micro Bench,32,6,0.601376
DAGRS,Micro Bench,32,7,0.623785
DAGRS,Micro Bench,32,8,0.626325
DAGRS,Micro Bench,32,9,0.612140
PIPELINER,Micro Bench,4,0,2.111767
PIPELINER,Micro Bench,4,1,2.096333
PIPELINER,Micro Bench,4,2,2.130297
PIPELINER,Micro Bench,4,3,2.095073
PIPELINER,Micro Bench,4,4,2.091931
PIPELINER,Micro Bench,4,5,2.111224
PIPELINER,Micro Bench,4,6,2.102406
PIPELINER,Micro Bench,4,7,2.089522
PIPELINER,Micro Bench,4,8,2.099752
PIPELINER,Micro Bench,4,9,2.120174
PIPELINER,Micro Bench,8,0,1.127262
PIPELINER,Micro Bench,8,1,1.123934
PIPELINER,Micro Bench,8,2,1.155034
PIPELINER,Micro Bench,8,3,1.139176
PIPELINER,Micro Bench,8,4,1.119643
PIPELINER,Micro Bench,8,5,1.127045
PIPELINER,Micro Bench,8,6,1.146353
PIPELINER,Micro Bench,8,7,1.104185
PIPELINER,Micro Bench,8,8,1.145957
PIPELINER,Micro Bench,8,9,1.164993
PIPELINER,Micro Bench,16,0,0.695626
PIPELINER,Micro Bench,16,1,0.743865
PIPELINER,Micro Bench,16,2,0.677553
PIPELINER,Micro Bench,16,3,0.732277
PIPELINER,Micro Bench,16,4,0.746457
PIPELINER,Micro Bench,16,5,0.790051
PIPELINER,Micro Bench,16,6,0.719022
PIPELINER,Micro Bench,16,7,0.768035
PIPELINER,Micro Bench,16,8,0.806232
PIPELINER,Micro Bench,16,9,0.726154
PIPELINER,Micro Bench,32,0,0.653920
PIPELINER,Micro Bench,32,1,0.541561
PIPELINER,Micro Bench,32,2,0.618791
PIPELINER,Micro Bench,32,3,0.626174
PIPELINER,Micro Bench,32,4,0.623248
PIPELINER,Micro Bench,32,5,0.583172
PIPELINER,Micro Bench,32,6,0.637952
PIPELINER,Micro Bench,32,7,0.567213
PIPELINER,Micro Bench,32,8,0.580664
PIPELINER,Micro Bench,32,9,0.665979
RAYON,Micro Bench,4,0,2.135309
RAYON,Micro Bench,4,1,2.102175
RAYON,Micro Bench,4,2,2.181857
RAYON,Micro Bench,4,3,2.102056
RAYON,Micro Bench,4,4,2.109825
RAYON,Micro Bench,4,5,2.097169
RAYON,Micro Bench,4,6,2.116181
RAYON,Micro Bench,4,7,2.115318
RAYON,Micro Bench,4,8,2.101834
RAYON,Micro Bench,4,9,2.142460
RAYON,Micro Bench,8,0,1.156336
RAYON,Micro Bench,8,1,1.146739
RAYON,Micro Bench,8,2,1.135307
RAYON,Micro Bench,8,3,1.140078
RAYON,Micro Bench,8,4,1.133005
RAYON,Micro Bench,8,5,1.124064
RAYON,Micro Bench,8,6,1.153707
RAYON,Micro Bench,8,7,1.131249
RAYON,Micro Bench,8,8,1.168069
RAYON,Micro Bench,8,9,1.162295
RAYON,Micro Bench,16,0,0.759358
