Framework,Workload,Iteration,ExecutionTime(s)
DAGRS,Mnist,0,903.000000
DAGRS,Mnist,1,886.000000
DAGRS,Mnist,2,1047.000000
DAGRS,Mnist,3,876.000000
DAGRS,Mnist,4,866.000000
DAGRS,Mnist,5,909.000000
DAGRS,Mnist,6,873.000000
DAGRS,Mnist,7,870.000000
DAGRS,Mnist,8,896.000000
DAGRS,Mnist,9,875.000000
GO,Mnist,0,899.000000
GO,Mnist,1,891.000000
GO,Mnist,2,1051.000000
GO,Mnist,3,879.000000
GO,Mnist,4,900.000000
GO,Mnist,5,909.000000
GO,Mnist,6,906.000000
GO,Mnist,7,857.000000
GO,Mnist,8,890.000000
GO,Mnist,9,876.000000
JOBLIB,Mnist,0,1097.000000
JOBLIB,Mnist,1,996.000000
JOBLIB,Mnist,2,1106.000000
JOBLIB,Mnist,3,1138.000000
JOBLIB,Mnist,4,990.000000
JOBLIB,Mnist,5,952.000000
JOBLIB,Mnist,6,1104.000000
JOBLIB,Mnist,7,1018.000000
JOBLIB,Mnist,8,996.000000
JOBLIB,Mnist,9,1005.000000
luigi,Mnist,0,896.000000
luigi,Mnist,1,867.000000
luigi,Mnist,2,1050.000000
luigi,Mnist,3,888.000000
luigi,Mnist,4,900.000000
luigi,Mnist,5,855.000000
luigi,Mnist,6,904.000000
luigi,Mnist,7,871.000000
luigi,Mnist,8,891.000000
luigi,Mnist,9,884.000000
