CMDLINE python run_sklearn.py
MEM 0.000000 1741784500.6651
MEM 431.972656 1741784500.8397
MEM 737.972656 1741784501.0100
MEM 1523.972656 1741784501.1784
MEM 1764.972656 1741784501.3556
MEM 1973.972656 1741784501.5314
MEM 2101.972656 1741784501.7067
MEM 2245.972656 1741784501.8781
MEM 2411.972656 1741784502.0510
MEM 2566.972656 1741784502.2215
MEM 2650.972656 1741784502.3919
MEM 2767.972656 1741784502.5672
MEM 3005.972656 1741784502.7396
MEM 3212.972656 1741784502.9109
MEM 3748.625000 1741784503.0836
MEM 5202.656250 1741784503.2586
MEM 6142.417969 1741784503.4416
MEM 5761.023438 1741784503.6507
MEM 5847.617188 1741784504.2030
MEM 5487.632812 1741784504.4182
MEM 5535.648438 1741784504.6288
MEM 6293.386719 1741784504.8592
MEM 5900.914062 1741784505.1723
MEM 5993.625000 1741784505.4160
MEM 5998.375000 1741784505.6097
MEM 5523.109375 1741784505.7990
MEM 5751.531250 1741784506.1068
MEM 6036.472656 1741784506.5830
MEM 5001.691406 1741784506.9866
MEM 5310.328125 1741784507.4840
MEM 5945.707031 1741784508.1238
MEM 6035.070312 1741784508.4987
MEM 6028.757812 1741784509.1363
MEM 5796.097656 1741784509.4837
MEM 5592.066406 1741784509.9870
MEM 5701.859375 1741784510.4351
MEM 6375.660156 1741784510.7177
MEM 6368.312500 1741784510.9315
MEM 5620.468750 1741784511.2459
MEM 5341.238281 1741784511.5388
MEM 6183.890625 1741784511.7983
MEM 5385.585938 1741784512.0710
MEM 5311.281250 1741784512.3324
MEM 6309.402344 1741784512.5214
MEM 4961.054688 1741784512.7203
MEM 5894.085938 1741784512.8892
MEM 5429.972656 1741784513.1756
MEM 6006.972656 1741784513.5016
MEM 5769.656250 1741784513.8687
MEM 6185.003906 1741784514.0962
MEM 5585.675781 1741784514.4485
MEM 5583.656250 1741784514.7586
MEM 5494.476562 1741784515.1362
MEM 5420.546875 1741784515.5517
MEM 5622.890625 1741784515.9183
MEM 5833.218750 1741784516.2763
MEM 5817.625000 1741784516.6603
MEM 5527.812500 1741784517.1696
MEM 6049.464844 1741784517.5572
MEM 5605.769531 1741784517.9748
MEM 5566.117188 1741784518.2334
MEM 5419.464844 1741784518.6405
MEM 5597.832031 1741784519.0833
MEM 6272.691406 1741784519.4793
MEM 5682.281250 1741784519.7237
MEM 5583.027344 1741784520.0974
MEM 6245.773438 1741784520.4847
MEM 5267.773438 1741784520.7744
MEM 6311.773438 1741784520.9570
MEM 6088.820312 1741784521.2079
MEM 5011.503906 1741784521.6297
MEM 5074.980469 1741784521.9523
MEM 5573.070312 1741784522.2370
MEM 6135.753906 1741784522.4237
MEM 6056.855469 1741784522.6855
MEM 6754.648438 1741784523.0348
MEM 5851.953125 1741784523.2875
MEM 6456.953125 1741784523.5732
MEM 6652.605469 1741784523.8183
MEM 6399.753906 1741784524.2385
MEM 5416.753906 1741784524.5183
MEM 6207.488281 1741784524.7516
MEM 5821.777344 1741784525.1019
MEM 5841.300781 1741784525.3661
MEM 6408.980469 1741784525.7135
MEM 6382.960938 1741784525.9248
MEM 5586.687500 1741784526.2673
MEM 5800.179688 1741784526.6446
MEM 6138.832031 1741784527.0336
MEM 5531.343750 1741784527.4830
MEM 5625.015625 1741784527.6739
MEM 5698.503906 1741784527.9421
MEM 5664.160156 1741784528.1951
MEM 5343.507812 1741784528.5247
MEM 5940.507812 1741784528.7200
MEM 6347.507812 1741784529.0709
MEM 6099.871094 1741784529.3680
MEM 5724.046875 1741784529.6607
MEM 6014.046875 1741784529.9146
MEM 5437.546875 1741784530.1428
MEM 6079.546875 1741784530.3705
MEM 6209.367188 1741784530.6867
MEM 4743.515625 1741784530.9658
MEM 5153.167969 1741784531.1809
MEM 5212.167969 1741784531.4635
MEM 5216.820312 1741784531.8499
MEM 4909.527344 1741784532.1113
MEM 5698.589844 1741784532.4935
MEM 4727.242188 1741784532.7573
MEM 5261.242188 1741784533.1075
MEM 5183.601562 1741784533.4391
MEM 5437.199219 1741784533.7976
MEM 5966.199219 1741784534.0345
MEM 4993.160156 1741784534.2251
MEM 5506.183594 1741784534.4213
MEM 5317.218750 1741784534.6983
MEM 5726.753906 1741784535.1226
MEM 4914.335938 1741784535.4509
MEM 4691.097656 1741784535.7501
MEM 5703.097656 1741784536.0106
MEM 4881.488281 1741784536.2816
MEM 5444.394531 1741784536.6098
MEM 5140.742188 1741784536.9192
MEM 5273.742188 1741784537.2217
MEM 5511.292969 1741784537.5665
MEM 5796.292969 1741784537.8839
MEM 4673.765625 1741784538.1502
MEM 5047.324219 1741784538.4839
MEM 5026.046875 1741784538.8142
MEM 5153.351562 1741784539.1291
MEM 5268.351562 1741784539.3857
MEM 5165.679688 1741784539.7564
MEM 5352.890625 1741784540.0654
MEM 5717.289062 1741784540.3577
MEM 5010.636719 1741784540.5560
MEM 5462.835938 1741784540.9256
MEM 5127.183594 1741784541.3463
MEM 4407.183594 1741784541.5793
MEM 5409.339844 1741784541.8582
MEM 5383.339844 1741784542.1474
MEM 4967.339844 1741784542.5291
