CMDLINE python sklearn.py
MEM 0.000000 1742195017.9469
MEM 26.000000 1742195018.1107
MEM 819.074219 1742195018.2864
MEM 1326.074219 1742195018.4608
MEM 1867.074219 1742195018.6353
MEM 2078.074219 1742195018.8102
MEM 2249.074219 1742195018.9857
MEM 2396.074219 1742195019.1599
MEM 2611.074219 1742195019.3341
MEM 2703.074219 1742195019.5084
MEM 2832.074219 1742195019.6828
MEM 2946.074219 1742195019.8574
MEM 3088.074219 1742195020.0342
MEM 3334.074219 1742195020.2093
MEM 3541.074219 1742195020.3834
MEM 4124.558594 1742195020.5562
MEM 7220.871094 1742195020.7344
MEM 5808.375000 1742195021.2855
MEM 6244.148438 1742195021.5061
MEM 5125.824219 1742195021.7309
MEM 6464.160156 1742195021.9730
MEM 6202.941406 1742195022.2071
MEM 6599.234375 1742195022.5322
MEM 6516.281250 1742195022.8607
MEM 6837.281250 1742195023.1194
MEM 6048.382812 1742195023.4889
MEM 6260.730469 1742195023.7670
MEM 5788.011719 1742195023.9545
MEM 6286.664062 1742195024.1948
MEM 5816.968750 1742195024.5043
MEM 5680.320312 1742195024.7239
MEM 5882.335938 1742195025.0146
MEM 6233.050781 1742195025.2960
MEM 5180.335938 1742195025.6347
MEM 6766.640625 1742195026.0082
MEM 5474.945312 1742195026.3692
MEM 6006.292969 1742195026.6209
MEM 6134.167969 1742195026.8919
MEM 5855.847656 1742195027.1658
MEM 5910.582031 1742195027.5608
MEM 6750.335938 1742195027.8321
MEM 6594.988281 1742195028.1683
MEM 5864.351562 1742195028.5812
MEM 6341.003906 1742195028.8708
MEM 5705.003906 1742195029.1645
MEM 5845.464844 1742195029.4197
MEM 6327.976562 1742195029.7007
MEM 5684.281250 1742195029.9498
MEM 6766.628906 1742195030.2870
MEM 6792.277344 1742195030.6189
MEM 5924.828125 1742195030.9385
MEM 5795.878906 1742195031.2563
MEM 6403.742188 1742195031.5032
MEM 5862.917969 1742195031.7591
MEM 5553.339844 1742195032.0808
MEM 6610.613281 1742195032.4259
MEM 5996.289062 1742195032.7106
MEM 6065.457031 1742195033.0049
MEM 6072.074219 1742195033.3836
MEM 6102.593750 1742195033.6412
MEM 6322.941406 1742195033.8374
MEM 7073.675781 1742195034.1787
MEM 6091.328125 1742195034.5590
MEM 6189.328125 1742195034.7579
MEM 5730.324219 1742195035.1286
MEM 5963.808594 1742195035.5390
MEM 5544.437500 1742195035.8013
MEM 6684.660156 1742195036.1531
MEM 5923.359375 1742195036.4963
MEM 6213.136719 1742195036.9556
MEM 5832.253906 1742195037.3353
MEM 6630.621094 1742195037.6701
MEM 6317.828125 1742195038.0341
MEM 6198.132812 1742195038.3556
MEM 6555.304688 1742195038.7415
MEM 4921.664062 1742195039.0610
MEM 5505.421875 1742195039.4987
MEM 6233.214844 1742195039.7689
MEM 6104.578125 1742195040.0362
MEM 5571.914062 1742195040.4127
MEM 5986.039062 1742195040.7202
MEM 5915.132812 1742195041.0476
MEM 5950.593750 1742195041.3473
MEM 6465.457031 1742195041.6484
MEM 5313.578125 1742195042.0264
MEM 6356.628906 1742195042.3378
MEM 6301.304688 1742195042.5891
MEM 5756.957031 1742195042.7855
MEM 5418.304688 1742195043.0171
